file,chars,items,per_1k,diagnosis,symptom,drug,test_name,test_result,isNegated,isFamily,isHistorical,drug_hints,lab_value_hints,wide_candidates,overlaps,bad_candidates,suspicious_diagnoses,errors,risk_score,flags
1,2942,39,13.3,6,23,4,6,0,3,0,3,3,0,0,0,0,0,0,0,"lab_names_without_results,lab_name_result_imbalance"
2,593,5,8.4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,ok
3,4428,40,9.0,3,35,0,2,0,11,0,3,0,0,0,6,0,0,0,6,"lab_names_without_results,overlapping_same_type"
4,2246,16,7.1,2,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,ok
5,1420,34,23.9,8,10,3,7,6,6,0,4,0,0,0,0,0,0,0,0,ok
6,584,2,3.4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,ok
7,2308,35,15.2,12,18,1,4,0,2,0,6,0,0,0,0,0,0,0,0,"lab_names_without_results,lab_name_result_imbalance"
8,964,7,7.3,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,ok
9,1069,20,18.7,4,4,1,4,7,1,0,2,0,0,0,0,0,0,0,0,ok
10,784,3,3.8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok
11,514,2,3.9,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,ok
12,1210,15,12.4,2,12,0,1,0,2,0,0,0,0,0,0,0,0,0,0,lab_names_without_results
13,2572,33,12.8,11,14,8,0,0,0,0,7,0,0,0,0,0,0,0,0,ok
14,798,8,10.0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,ok
15,281,2,7.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok
16,2286,54,23.6,17,30,0,3,4,9,0,6,0,0,0,0,0,0,0,0,ok
17,1983,45,22.7,1,20,2,14,8,1,0,0,0,0,0,1,0,0,0,1,"lab_name_result_imbalance,overlapping_same_type"
18,833,14,16.8,3,9,0,2,0,0,0,1,0,0,0,3,0,0,0,3,"lab_names_without_results,overlapping_same_type"
19,1216,19,15.6,6,10,3,0,0,4,0,9,0,0,0,0,0,0,0,0,ok
20,3007,59,19.6,36,9,2,9,3,3,0,9,1,0,0,1,0,1,0,3,"lab_name_result_imbalance,overlapping_same_type,suspicious_diagnosis_span"
21,520,4,7.7,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,ok
22,379,6,15.8,3,0,1,2,0,1,0,2,1,0,0,0,0,0,0,0,lab_names_without_results
23,2878,18,6.3,3,15,0,0,0,7,0,0,0,0,0,0,0,0,0,0,ok
24,1361,21,15.4,2,16,3,0,0,2,0,2,0,0,0,0,0,0,0,0,ok
25,440,2,4.5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,ok
26,378,1,2.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,very_sparse
27,1368,20,14.6,5,10,5,0,0,6,0,8,1,0,0,0,0,0,0,0,ok
28,2422,36,14.9,9,20,1,3,3,6,0,8,0,0,0,0,0,1,0,2,suspicious_diagnosis_span
29,373,4,10.7,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,ok
30,1517,20,13.2,6,8,6,0,0,0,0,12,0,0,0,0,0,0,0,0,ok
31,196,1,5.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok
32,2326,47,20.2,13,23,3,4,4,7,0,10,1,0,0,0,0,0,0,0,ok
33,1627,19,11.7,4,8,7,0,0,0,0,5,4,0,0,0,0,0,0,0,ok
34,1377,9,6.5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok
35,1725,32,18.6,8,14,4,3,3,0,0,12,0,0,0,0,0,0,0,0,ok
36,2420,39,16.1,4,2,8,20,5,0,0,10,3,0,0,0,0,0,0,0,lab_name_result_imbalance
37,1739,36,20.7,5,0,9,14,8,0,0,9,1,0,0,0,0,0,0,0,lab_name_result_imbalance
38,1133,8,7.1,0,5,0,3,0,2,0,0,0,0,0,0,0,0,0,0,lab_names_without_results
39,670,7,10.4,0,5,0,1,1,2,0,0,0,0,0,0,0,0,0,0,ok
40,1752,25,14.3,4,19,0,1,1,7,1,2,0,0,0,0,0,0,0,0,ok
41,3347,72,21.5,27,28,7,7,3,0,0,15,0,0,0,0,0,0,0,0,lab_name_result_imbalance
42,925,7,7.6,0,6,1,0,0,3,0,1,0,0,0,0,0,0,0,0,ok
43,1508,24,15.9,7,6,0,11,0,5,0,1,0,0,0,3,0,0,0,3,"lab_names_without_results,lab_name_result_imbalance,overlapping_same_type"
44,1980,37,18.7,4,23,10,0,0,1,0,4,3,0,0,0,0,0,0,0,ok
45,993,9,9.1,7,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,lab_names_without_results
46,616,11,17.9,4,2,0,3,2,0,0,1,0,0,0,0,0,0,0,0,ok
47,2984,31,10.4,5,16,0,10,0,14,0,1,0,0,0,0,0,0,0,0,"lab_names_without_results,lab_name_result_imbalance"
48,2762,52,18.8,6,43,0,2,1,3,0,6,0,0,0,0,0,0,0,0,ok
49,1275,13,10.2,3,10,0,0,0,2,0,0,0,0,0,1,0,0,0,1,overlapping_same_type
50,2073,34,16.4,3,16,15,0,0,1,0,14,5,0,0,0,0,0,0,0,ok
51,1311,10,7.6,2,6,0,1,1,0,0,2,0,0,0,0,0,0,0,0,ok
52,989,10,10.1,3,4,1,2,0,0,0,2,0,0,0,0,0,0,0,0,lab_names_without_results
53,1229,11,9.0,8,3,0,0,0,0,0,6,0,0,0,1,0,0,0,1,overlapping_same_type
54,2956,46,15.6,17,10,6,8,5,0,0,10,0,0,0,4,0,0,0,4,overlapping_same_type
55,136,2,14.7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok
56,1499,18,12.0,5,10,0,3,0,0,0,4,0,0,0,0,0,0,0,0,lab_names_without_results
57,373,3,8.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok
58,2931,27,9.2,11,10,0,6,0,1,0,2,0,0,0,0,0,0,0,0,"lab_names_without_results,lab_name_result_imbalance"
59,2126,24,11.3,7,15,0,2,0,0,0,7,0,0,0,2,0,0,0,2,"lab_names_without_results,overlapping_same_type"
60,879,5,5.7,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,ok
61,1215,10,8.2,1,7,0,2,0,1,0,0,0,0,0,2,0,0,0,2,"lab_names_without_results,overlapping_same_type"
62,334,3,9.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok
63,1676,18,10.7,3,9,3,2,1,0,0,4,0,0,0,0,0,0,0,0,ok
64,1747,27,15.5,4,16,5,2,0,10,0,9,0,0,0,0,0,0,0,0,lab_names_without_results
65,646,6,9.3,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,ok
66,1416,38,26.8,9,4,1,17,7,1,0,9,0,0,0,2,0,0,0,2,"lab_name_result_imbalance,overlapping_same_type"
67,503,5,9.9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok
68,297,4,13.5,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,ok
69,983,16,16.3,12,2,0,0,2,0,0,5,0,0,0,0,0,0,0,0,ok
70,2360,13,5.5,0,10,3,0,0,3,0,1,2,0,0,0,0,0,0,0,ok
71,1009,22,21.8,9,11,2,0,0,0,0,8,0,0,0,1,0,0,0,1,overlapping_same_type
72,1497,15,10.0,7,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,ok
73,1707,20,11.7,5,7,8,0,0,4,0,13,6,0,0,0,0,0,0,0,ok
74,1805,23,12.7,3,11,7,1,1,4,0,6,0,0,0,0,0,0,0,0,ok
