term,type,source,frequency
tăng huyết áp,CHẨN_ĐOÁN,input_part2_gold_threshold,148
trầm cảm,CHẨN_ĐOÁN,input_part2_gold_threshold,90
Đái tháo đường,CHẨN_ĐOÁN,input_part2_gold_threshold,62
bệnh mạch vành,CHẨN_ĐOÁN,input_part2_gold_threshold,33
tai biến mạch máu não,CHẨN_ĐOÁN,input_part2_gold_threshold,31
rối loạn lipid máu,CHẨN_ĐOÁN,input_part2_gold_threshold,28
Rung nhĩ,CHẨN_ĐOÁN,input_part2_gold_threshold,25
lo âu,CHẨN_ĐOÁN,input_part2_gold_threshold,24
tử vong,CHẨN_ĐOÁN,input_part2_gold_threshold,23
co giật,CHẨN_ĐOÁN,input_part2_gold_threshold,22
Nhồi máu cơ tim,CHẨN_ĐOÁN,input_part2_gold_threshold,21
Suy giáp,CHẨN_ĐOÁN,input_part2_gold_threshold,21
Bệnh thận mạn,CHẨN_ĐOÁN,input_part2_gold_threshold,17
Đái tháo đường típ 2,CHẨN_ĐOÁN,input_part2_gold_threshold,17
Hen phế quản,CHẨN_ĐOÁN,input_part2_gold_threshold,16
rối loạn cảm xúc lưỡng cực,CHẨN_ĐOÁN,input_part2_gold_threshold,16
Suy tim,CHẨN_ĐOÁN,input_part2_gold_threshold,16
Bệnh phổi tắc nghẽn mạn tính,CHẨN_ĐOÁN,input_part2_gold_threshold,15
nhiễm trùng đường tiết niệu,CHẨN_ĐOÁN,input_part2_gold_threshold,15
chấn thương,CHẨN_ĐOÁN,input_part2_gold_threshold,14
sa sút trí tuệ,CHẨN_ĐOÁN,input_part2_gold_threshold,14
suy thận giai đoạn cuối,CHẨN_ĐOÁN,input_part2_gold_threshold,14
bệnh mạch máu ngoại biên,CHẨN_ĐOÁN,input_part2_gold_threshold,13
bệnh tim mạch do xơ vữa động mạch,CHẨN_ĐOÁN,input_part2_gold_threshold,13
rối loạn cảm xúc hai cực,CHẨN_ĐOÁN,input_part2_gold_threshold,13
tăng lipid máu,CHẨN_ĐOÁN,input_part2_gold_threshold,13
Tăng lipid máu (không đặc hiệu),CHẨN_ĐOÁN,input_part2_gold_threshold,13
tâm thần phân liệt,CHẨN_ĐOÁN,input_part2_gold_threshold,12
rối loạn căng thẳng sau sang chấn,CHẨN_ĐOÁN,input_part2_gold_threshold,11
rối loạn phân liệt cảm xúc,CHẨN_ĐOÁN,input_part2_gold_threshold,11
Sỏi thận,CHẨN_ĐOÁN,input_part2_gold_threshold,11
bệnh di căn,CHẨN_ĐOÁN,input_part2_gold_threshold,10
xơ gan,CHẨN_ĐOÁN,input_part2_gold_threshold,10
đau,TRIỆU_CHỨNG,input_part2_gold_threshold,342
