type,mention_key,conflict_kind,occurrences,wrong_occurrences,candidate_distribution,locations
CHẨN_ĐOÁN,benh than man,empty_vs_code,17,1,"{""[]"": 16, ""['N18.5']"": 1}",12.json:370=[]; 13.json:5051=[]; 39.json:3803=[]; 39.json:6644=[]; 43.json:168=[]; 43.json:1052=[]; 49.json:375=[]; 49.json:5237=[]; 53.json:227=[]; 67.json:2715=[]; 69.json:98=[]; 75.json:7876=['N18.5']; 79.json:3325=[]; 81.json:4621=[]; 83.json:212=[]; 89.json:1373=[]; 91.json:5490=[]
CHẨN_ĐOÁN,con dau that nguc,empty_vs_code,2,1,"{""[]"": 1, ""['I20.0']"": 1}",28.json:6971=[]; 93.json:6376=['I20.0']
CHẨN_ĐOÁN,dai thao duong,empty_vs_code,62,2,"{""[]"": 54, ""['E11.8']"": 8}",1.json:3040=[]; 2.json:3226=[]; 4.json:7275=[]; 4.json:11275=[]; 5.json:4423=['E11.8']; 5.json:5962=[]; 5.json:7218=[]; 6.json:3160=[]; 6.json:8026=[]; 7.json:2243=[]; 8.json:472=[]; 8.json:8994=[]; 9.json:5721=[]; 10.json:12143=[]; 11.json:9201=[]; 12.json:3079=[]; 15.json:2335=['E11.8']; 17.json:7817=[]; 20.json:1706=[]; 20.json:8601=['E11.8']; 22.json:135=[]; 24.json:150=[]; 25.json:263=[]; 29.json:159=[]; 32.json:3053=[]; 33.json:12625=[]; 34.json:7768=['E11.8']; 34.json:9227=['E11.8']; 36.json:3659=[]; 37.json:3148=['E11.8']; 37.json:3948=['E11.8']; 39.json:1737=[]; 39.json:6572=[]; 41.json:2568=[]; 41.json:2695=[]; 42.json:4629=['E11.8']; 43.json:137=[]; 43.json:1009=[]; 46.json:5495=[]; 49.json:1582=[]; 49.json:5290=[]; 50.json:4805=[]; 53.json:254=[]; 53.json:4276=[]; 58.json:6388=[]; 60.json:2810=[]; 69.json:837=[]; 70.json:6906=[]; 77.json:1041=[]; 77.json:2113=[]; 78.json:4719=[]; 79.json:3301=[]; 80.json:2606=[]; 81.json:526=[]; 81.json:4598=[]; 85.json:11679=[]; 87.json:6834=[]; 87.json:9453=[]; 90.json:4022=[]; 90.json:7998=[]; 99.json:8914=[]; 100.json:3923=[]
CHẨN_ĐOÁN,dai thao duong tip 2,empty+multiple_codes,17,3,"{""[]"": 14, ""['E11.8']"": 1, ""['E11.0', 'E11.4†']"": 1, ""['E11.9']"": 1}","12.json:334=[]; 16.json:4353=[]; 25.json:3632=[]; 25.json:4855=[]; 26.json:4688=[]; 30.json:6403=[]; 39.json:3845=[]; 42.json:5959=['E11.8']; 55.json:240=[]; 57.json:131=[]; 60.json:154=[]; 69.json:200=[]; 75.json:7693=['E11.0', 'E11.4†']; 81.json:3907=['E11.9']; 83.json:190=[]; 88.json:10637=[]; 97.json:187=[]"
CHẨN_ĐOÁN,dtd type 2,different_codes,3,2,"{""['E11.8']"": 1, ""['E11.4†']"": 1, ""['E11.9']"": 1}",5.json:5251=['E11.8']; 75.json:8058=['E11.4†']; 78.json:3787=['E11.9']
CHẨN_ĐOÁN,gay xuong suon,empty_vs_code,3,1,"{""['S22.3']"": 1, ""[]"": 2}",5.json:4599=['S22.3']; 10.json:3006=[]; 100.json:2625=[]
CHẨN_ĐOÁN,ho van hai la,empty_vs_code,3,0,"{""['I05.2']"": 2, ""[]"": 1}",29.json:1291=['I05.2']; 29.json:2294=['I05.2']; 34.json:1279=[]
CHẨN_ĐOÁN,lam dung ruou,empty_vs_code,4,1,"{""['F10.1']"": 1, ""[]"": 3}",23.json:6169=['F10.1']; 28.json:4221=[]; 41.json:8348=[]; 93.json:243=[]
CHẨN_ĐOÁN,lupus ban do he thong,empty_vs_code,2,2,"{""['M32.8']"": 1, ""[]"": 1}",98.json:8814=['M32.8']; 98.json:9411=[]
CHẨN_ĐOÁN,ngung tho khi ngu,empty_vs_code,5,2,"{""['G47.3']"": 3, ""[]"": 2}",2.json:4574=['G47.3']; 4.json:12050=[]; 10.json:12017=['G47.3']; 39.json:3514=['G47.3']; 91.json:6312=[]
CHẨN_ĐOÁN,nhiem trung,empty_vs_code,5,1,"{""[]"": 4, ""['L08.8']"": 1}",15.json:607=[]; 15.json:686=[]; 45.json:8295=['L08.8']; 60.json:2910=[]; 89.json:1437=[]
CHẨN_ĐOÁN,nhiem trung duong mat,different_codes,2,1,"{""['K83.0']"": 1, ""['K80.3', 'K83.0']"": 1}","49.json:6270=['K83.0']; 59.json:3373=['K83.0', 'K80.3']"
CHẨN_ĐOÁN,nhoi mau co tim,empty_vs_code,21,0,"{""[]"": 19, ""['I21.9']"": 2}",1.json:3298=[]; 5.json:6184=[]; 5.json:8027=[]; 18.json:2147=[]; 18.json:2292=[]; 25.json:701=[]; 30.json:3780=[]; 39.json:628=['I21.9']; 39.json:3281=[]; 46.json:5919=[]; 56.json:3831=[]; 56.json:3975=[]; 67.json:951=[]; 68.json:6918=[]; 78.json:2406=[]; 81.json:4484=[]; 84.json:2761=[]; 87.json:3974=[]; 89.json:2260=[]; 90.json:6755=['I21.9']; 100.json:5159=[]
CHẨN_ĐOÁN,nhoi mau co tim cap st chenh len,empty_vs_code,2,1,"{""[]"": 1, ""['I21.2']"": 1}",31.json:574=[]; 90.json:7525=['I21.2']
CHẨN_ĐOÁN,polyp dai trang,empty_vs_code,3,1,"{""['K63.5']"": 1, ""[]"": 2}",5.json:5479=['K63.5']; 49.json:2513=[]; 89.json:3970=[]
CHẨN_ĐOÁN,roi loan lipid mau,empty_vs_code,28,1,"{""[]"": 27, ""['E78.8']"": 1}",1.json:204=[]; 2.json:3264=[]; 11.json:5784=[]; 12.json:314=[]; 14.json:5746=[]; 19.json:4769=[]; 21.json:6466=[]; 26.json:7775=[]; 27.json:8200=['E78.8']; 29.json:190=[]; 30.json:6450=[]; 31.json:11708=[]; 33.json:4186=[]; 36.json:3639=[]; 41.json:13382=[]; 42.json:204=[]; 49.json:267=[]; 49.json:1613=[]; 53.json:4307=[]; 56.json:1494=[]; 64.json:6049=[]; 66.json:4273=[]; 76.json:3217=[]; 87.json:4006=[]; 87.json:10595=[]; 93.json:3936=[]; 97.json:224=[]; 100.json:5139=[]
